game_id,season,game_type,week,gameday,weekday,gametime,away_team,home_team,away_score,home_score,result,overtime,stadium
2025_04_CIN_DEN,2025,REG,4,2025-09-29,Monday,20:15,CIN,DEN,3.0,28.0,25.0,0.0,Empower Field at Mile High
2025_05_SF_LA,2025,REG,5,2025-10-02,Thursday,20:15,SF,LA,26.0,23.0,-3.0,1.0,SoFi Stadium
2025_05_MIN_CLE,2025,REG,5,2025-10-05,Sunday,09:30,MIN,CLE,21.0,17.0,-4.0,0.0,FirstEnergy Stadium
2025_05_HOU_BAL,2025,REG,5,2025-10-05,Sunday,13:00,HOU,BAL,44.0,10.0,-34.0,0.0,M&T Bank Stadium
2025_05_MIA_CAR,2025,REG,5,2025-10-05,Sunday,13:00,MIA,CAR,24.0,27.0,3.0,0.0,Bank of America Stadium
2025_05_LV_IND,2025,REG,5,2025-10-05,Sunday,13:00,LV,IND,6.0,40.0,34.0,0.0,Lucas Oil Stadium
2025_05_NYG_NO,2025,REG,5,2025-10-05,Sunday,13:00,NYG,NO,14.0,26.0,12.0,0.0,Mercedes-Benz Superdome
2025_05_DAL_NYJ,2025,REG,5,2025-10-05,Sunday,13:00,DAL,NYJ,37.0,22.0,-15.0,0.0,MetLife Stadium
2025_05_DEN_PHI,2025,REG,5,2025-10-05,Sunday,13:00,DEN,PHI,21.0,17.0,-4.0,0.0,Lincoln Financial Field
2025_05_TEN_ARI,2025,REG,5,2025-10-05,Sunday,16:05,TEN,ARI,22.0,21.0,-1.0,0.0,State Farm Stadium
2025_05_TB_SEA,2025,REG,5,2025-10-05,Sunday,16:05,TB,SEA,38.0,35.0,-3.0,0.0,Lumen Field
2025_05_DET_CIN,2025,REG,5,2025-10-05,Sunday,16:25,DET,CIN,37.0,24.0,-13.0,0.0,Paycor Stadium
2025_05_WAS_LAC,2025,REG,5,2025-10-05,Sunday,16:25,WAS,LAC,27.0,10.0,-17.0,0.0,SoFi Stadium
2025_05_NE_BUF,2025,REG,5,2025-10-05,Sunday,20:20,NE,BUF,23.0,20.0,-3.0,0.0,New Era Field
2025_05_KC_JAX,2025,REG,5,2025-10-06,Monday,20:15,KC,JAX,28.0,31.0,3.0,0.0,TIAA Bank Stadium
2025_06_PHI_NYG,2025,REG,6,2025-10-09,Thursday,20:15,PHI,NYG,17.0,34.0,17.0,0.0,MetLife Stadium
2025_06_DEN_NYJ,2025,REG,6,2025-10-12,Sunday,09:30,DEN,NYJ,13.0,11.0,-2.0,0.0,MetLife Stadium
2025_06_LA_BAL,2025,REG,6,2025-10-12,Sunday,13:00,LA,BAL,17.0,3.0,-14.0,0.0,M&T Bank Stadium
2025_06_DAL_CAR,2025,REG,6,2025-10-12,Sunday,13:00,DAL,CAR,27.0,30.0,3.0,0.0,Bank of America Stadium
2025_06_ARI_IND,2025,REG,6,2025-10-12,Sunday,13:00,ARI,IND,27.0,31.0,4.0,0.0,Lucas Oil Stadium
2025_06_SEA_JAX,2025,REG,6,2025-10-12,Sunday,13:00,SEA,JAX,20.0,12.0,-8.0,0.0,TIAA Bank Stadium
2025_06_LAC_MIA,2025,REG,6,2025-10-12,Sunday,13:00,LAC,MIA,29.0,27.0,-2.0,0.0,Hard Rock Stadium
2025_06_NE_NO,2025,REG,6,2025-10-12,Sunday,13:00,NE,NO,25.0,19.0,-6.0,0.0,Mercedes-Benz Superdome
2025_06_CLE_PIT,2025,REG,6,2025-10-12,Sunday,13:00,CLE,PIT,9.0,23.0,14.0,0.0,Acrisure Stadium
